ID,PLOT,ROW,COLUMN,CHECKS,ENTRY,TREATMENT,genotype,activity,date,rowcode,vigorcode,vigorcode_num,quadratdimension,totalbiomass_wet_inbag_g,bagtare_g,totalbiomass_dry_inbag_g,grain_dry_nobag_g
319,319,29,11,0,250,G250,PI 425330,assessment,~lateJuly,1,b,3,,,,,
320,320,30,11,0,113,G113,PI 363988,assessment,~lateJuly,2,a,4,,,,,
321,321,30,10,0,202,G202,PI 377276,assessment,~lateJuly,1,b,3,,,,,
322,322,30,9,0,351,G351,PI 426039,assessment,~lateJuly,2,b,3,,,,,
323,323,30,8,0,316,G316,PI 425591,assessment,~lateJuly,2,b,3,,,,,
324,324,30,7,0,83,G83,PI 363597,assessment,~lateJuly,1,b,3,,,,,
325,325,30,6,0,114,G114,PI 363989,assessment,~lateJuly,2,b,3,,,,,
326,326,30,5,0,246,G246,PI 425261,assessment,~lateJuly,2,d,1,,,,,
327,327,30,4,0,350,G350,PI 426038,assessment,~lateJuly,2,b,3,,,,,
328,328,30,3,2,2,CH2,Ok2000,assessment,~lateJuly,2,a,4,,,,,
329,329,30,2,0,135,G135,PI 368275,assessment,~lateJuly,2,b,3,,,,,
330,330,30,1,0,156,G156,PI 377039,assessment,~lateJuly,2,a,4,,,,,
331,331,31,1,0,221,G221,PI 377349,assessment,~lateJuly,2,d,1,,,,,
332,332,31,2,0,276,G276,PI 425507,assessment,~lateJuly,2,d,1,,,,,
333,333,31,3,0,330,G330,PI 425811,assessment,~lateJuly,2,a,4,,,,,
334,334,31,4,0,241,G241,PI 425219,assessment,~lateJuly,2,a,4,,,,,
335,335,31,5,0,311,G311,PI 425582,assessment,~lateJuly,2,a,4,,,,,
336,336,31,6,0,91,G91,PI 363647,assessment,~lateJuly,2,b,3,,,,,
337,337,31,7,0,11,G11,PI 201869,assessment,~lateJuly,2,b,3,,,,,
338,338,31,8,0,252,G252,PI 425387,assessment,~lateJuly,1,b,3,,,,,
339,339,31,9,0,14,G14,PI 254557,assessment,~lateJuly,2,b,3,,,,,
340,340,31,10,1,1,CH1,albert lea,assessment,~lateJuly,2,b,3,,,,,
341,341,31,11,0,43,G43,PI 363324,assessment,~lateJuly,2,b,3,,,,,
342,342,32,11,0,248,G248,PI 425271,assessment,~lateJuly,1,b,3,,,,,
343,343,32,10,0,324,G324,PI 425725,assessment,~lateJuly,1,b,3,,,,,
344,344,32,9,0,128,G128,PI 364214,assessment,~lateJuly,1,d,1,,,,,
345,345,32,8,0,361,G361,PI 427024,assessment,~lateJuly,0,c,2,,,,,
346,346,32,7,2,2,CH2,Ok2000,assessment,~lateJuly,2,b,3,,,,,
347,347,32,6,0,199,G199,PI 377272,assessment,~lateJuly,0,0,0,,,,,
348,348,32,5,0,24,G24,PI 362311,assessment,~lateJuly,2,b,3,,,,,
349,349,32,4,0,357,G357,PI 426118,assessment,~lateJuly,2,d,1,,,,,
350,350,32,3,0,36,G36,PI 363222,assessment,~lateJuly,2,a,4,,,,,
351,351,32,2,0,269,G269,PI 425483,assessment,~lateJuly,2,d,1,,,,,
352,352,32,1,0,162,G162,PI 377195,assessment,~lateJuly,2,b,3,,,,,
353,353,33,1,0,120,G120,PI 364049,assessment,~lateJuly,2,d,1,,,,,
354,354,33,2,0,219,G219,PI 377338,assessment,~lateJuly,2,d,1,,,,,
355,355,33,3,0,16,G16,PI 271401,assessment,~lateJuly,2,b,3,,,,,
356,356,33,4,1,1,CH1,albert lea,assessment,~lateJuly,2,b,3,,,,,
357,357,33,5,0,265,G265,PI 425456,assessment,~lateJuly,2,a,4,,,,,
358,358,33,6,0,303,G303,PI 425557,assessment,~lateJuly,1,d,1,,,,,
359,359,33,7,0,220,G220,PI 377342,assessment,~lateJuly,2,c,2,,,,,
360,360,33,8,0,237,G237,PI 425167,assessment,~lateJuly,2,b,3,,,,,
361,361,33,9,0,313,G313,PI 425585,assessment,~lateJuly,2,b,3,,,,,
362,362,33,10,0,53,G53,PI 363359,assessment,~lateJuly,0,0,0,,,,,
363,363,33,11,0,158,G158,PI 377138,assessment,~lateJuly,0,0,0,,,,,
364,364,34,11,2,2,CH2,Ok2000,assessment,~lateJuly,0,0,0,,,,,
365,365,34,10,0,363,G363,PI 674166,assessment,~lateJuly,1,b,3,,,,,
366,366,34,9,0,139,G139,PI 368302,assessment,~lateJuly,0,0,0,,,,,
367,367,34,8,0,157,G157,PI 377081,assessment,~lateJuly,1,b,3,,,,,
368,368,34,7,0,40,G40,PI 363301,assessment,~lateJuly,0,0,0,,,,,
369,369,34,6,0,216,G216,PI 377312,assessment,~lateJuly,1,d,1,,,,,
370,370,34,5,0,20,G20,PI 346315,assessment,~lateJuly,0,0,0,,,,,
371,371,34,4,0,270,G270,PI 425484,assessment,~lateJuly,2,b,3,,,,,
372,372,34,3,0,226,G226,PI 413223,assessment,~lateJuly,2,b,3,,,,,
373,373,34,2,0,234,G234,PI 425136,assessment,~lateJuly,2,a,4,,,,,
374,374,34,1,2,empty,empty,empty,assessment,~lateJuly,empty,empty,empty,,,,,
375,375,35,1,0,137,G137,PI 368279,assessment,~lateJuly,2,b,3,,,,,
376,376,35,2,0,200,G200,PI 377274,assessment,~lateJuly,2,b,3,,,,,
377,377,35,3,0,299,G299,PI 425548,assessment,~lateJuly,2,b,3,,,,,
378,378,35,4,0,63,G63,PI 363419,assessment,~lateJuly,2,d,1,,,,,
379,379,35,5,0,298,G298,PI 425546,assessment,~lateJuly,2,d,1,,,,,
380,380,35,6,0,309,G309,PI 425580,assessment,~lateJuly,2,a,4,,,,,
381,381,35,7,0,18,G18,PI 305413,assessment,~lateJuly,2,b,3,,,,,
382,382,35,8,1,1,CH1,albert lea,assessment,~lateJuly,2,b,3,,,,,
383,383,35,9,0,142,G142,PI 368330,assessment,~lateJuly,2,b,3,,,,,
384,384,35,10,0,230,G230,PI 425038,assessment,~lateJuly,2,b,3,,,,,
385,385,35,11,0,177,G177,PI 377235,assessment,~lateJuly,0,b,3,,,,,
386,386,36,11,0,121,G121,PI 364070,assessment,~lateJuly,0,b,3,,,,,
387,387,36,10,0,315,G315,PI 425587,assessment,~lateJuly,2,a,4,,,,,
388,388,36,9,0,218,G218,PI 377316,assessment,~lateJuly,2,b,3,,,,,
389,389,36,8,0,185,G185,PI 377249,assessment,~lateJuly,1,b,3,,,,,
390,390,36,7,0,106,G106,PI 363825,assessment,~lateJuly,2,b,3,,,,,
391,391,36,6,0,302,G302,PI 425554,assessment,~lateJuly,2,c,2,,,,,
392,392,36,5,1,1,CH1,albert lea,assessment,~lateJuly,2,b,3,,,,,
393,393,36,4,0,133,G133,PI 364231,assessment,~lateJuly,2,b,3,,,,,
394,394,36,3,0,271,G271,PI 425485,assessment,~lateJuly,2,b,3,,,,,
395,395,36,2,0,168,G168,PI 377207,assessment,~lateJuly,1,c,2,,,,,
396,396,36,1,0,176,G176,PI 377233,assessment,~lateJuly,2,b,3,,,,,
397,397,37,1,0,292,G292,PI 425533,assessment,~lateJuly,2,a,4,,,,,
398,398,37,2,1,1,CH1,albert lea,assessment,~lateJuly,2,b,3,,,,,
399,399,37,3,0,225,G225,PI 390419,assessment,~lateJuly,2,b,3,,,,,
400,400,37,4,0,22,G22,PI 362309,assessment,~lateJuly,2,b,3,,,,,
401,401,37,5,0,41,G41,PI 363302,assessment,~lateJuly,2,b,3,,,,,
402,402,37,6,0,140,G140,PI 368305,assessment,~lateJuly,1,d,1,,,,,
403,403,37,7,0,290,G290,PI 425528,assessment,~lateJuly,1,b,3,,,,,
404,404,37,8,0,197,G197,PI 377268,assessment,~lateJuly,1,c,2,,,,,
405,405,37,9,0,243,G243,PI 425240,assessment,~lateJuly,2,c,2,,,,,
406,0,37,10,0,1,Filler,albert lea,assessment,~lateJuly,2,b,3,,,,,
407,0,37,11,0,0,Filler,albert lea 2x,assessment,~lateJuly,1,b,3,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,1,1,1,0,223,G223,PI 377363,harvest,11/7/2024,,,,,,,,
2,2,1,2,0,99,G99,PI 363778,harvest,11/7/2024,,,,,,,,
3,3,1,3,0,153,G153,PI 376989,harvest,11/7/2024,,,,,,,,
4,4,1,4,0,274,G274,PI 425504,harvest,11/7/2024,,,,,,,,
5,5,1,5,0,314,G314,PI 425586,harvest,11/7/2024,,,,,,,,
6,6,1,6,0,206,G206,PI 377286,harvest,11/7/2024,,,,,,,,
7,7,1,7,0,39,G39,PI 363272,harvest,11/7/2024,,,,,,,,
8,8,1,8,0,49,G49,PI 363341,harvest,11/7/2024,,,,,,,,
9,9,1,9,0,178,G178,PI 377236,harvest,11/7/2024,,,,,,,,
10,10,1,10,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
11,11,1,11,0,304,G304,PI 425569,harvest,11/7/2024,,,,,,,,
12,12,2,11,0,70,G70,PI 363494,harvest,11/7/2024,,,,,,,,
13,13,2,10,0,347,G347,PI 425965,harvest,11/7/2024,,,,,,,,
14,14,2,9,0,117,G117,PI 364016,harvest,11/7/2024,,,,,,,,
15,15,2,8,0,149,G149,PI 376856,harvest,11/7/2024,,,,,,,,
16,16,2,7,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
17,17,2,6,0,179,G179,PI 377238,harvest,11/7/2024,,,,,,,,
18,18,2,5,0,207,G207,PI 377287,harvest,11/7/2024,,,,,,,,
19,19,2,4,0,64,G64,PI 363459,harvest,11/7/2024,,,,,,,,
20,20,2,3,0,56,G56,PI 363374,harvest,11/7/2024,,,,,,,,
21,21,2,2,0,333,G333,PI 425815,harvest,11/7/2024,,,,,,,,
22,22,2,1,0,84,G84,PI 363600,harvest,11/7/2024,,,,,,,,
23,23,3,1,0,76,G76,PI 363565,harvest,11/7/2024,,,,,,,,
24,24,3,2,0,300,G300,PI 425551,harvest,11/7/2024,,,,,,,,
25,25,3,3,0,279,G279,PI 425510,harvest,11/7/2024,,,,,,,,
26,26,3,4,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
27,27,3,5,0,103,G103,PI 363820,harvest,11/7/2024,,,,,,,,
28,28,3,6,0,7,G7,PI 179703,harvest,11/7/2024,,,,,,,,
29,29,3,7,0,337,G337,PI 425823,harvest,11/7/2024,,,,,,,,
30,30,3,8,0,332,G332,PI 425814,harvest,11/7/2024,,,,,,,,
31,31,3,9,0,180,G180,PI 377239,harvest,11/7/2024,,,,,,,,
32,32,3,10,0,110,G110,PI 363869,harvest,11/7/2024,,,,,,,,
33,33,3,11,0,118,G118,PI 364028,harvest,11/7/2024,,,,,,,,
34,34,4,11,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
35,35,4,10,0,97,G97,PI 363763,harvest,11/7/2024,,,,,,,,
36,36,4,9,0,75,G75,PI 363523,harvest,11/7/2024,,,,,,,,
37,37,4,8,0,272,G272,PI 425487,harvest,11/7/2024,,,,,,,,
38,38,4,7,0,72,G72,PI 363514,harvest,11/7/2024,,,,,,,,
39,39,4,6,0,131,G131,PI 364225,harvest,11/7/2024,,,,,,,,
40,40,4,5,0,130,G130,PI 364224,harvest,11/7/2024,,,,,,,,
41,41,4,4,0,182,G182,PI 377242,harvest,11/7/2024,,,,,,,,
42,42,4,3,0,116,G116,PI 364015,harvest,11/7/2024,,,,,,,,
43,43,4,2,0,148,G148,PI 376850,harvest,11/7/2024,,,,,,,,
44,44,4,1,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
45,45,5,1,0,12,G12,PI 201874,harvest,11/7/2024,,,,,,,,
46,46,5,2,0,85,G85,PI 363604,harvest,11/7/2024,,,,,,,,
47,47,5,3,0,171,G171,PI 377220,harvest,11/7/2024,,,,,,,,
48,48,5,4,0,51,G51,PI 363354,harvest,11/7/2024,,,,,,,,
49,49,5,5,0,209,G209,PI 377296,harvest,11/7/2024,,,,,,,,
50,50,5,6,0,122,G122,PI 364119,harvest,11/7/2024,,,,,,,,
51,51,5,7,0,253,G253,PI 425388,harvest,11/7/2024,,,,,,,,
52,52,5,8,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
53,53,5,9,0,335,G335,PI 425818,harvest,11/7/2024,,,,,,,,
54,54,5,10,0,296,G296,PI 425537,harvest,11/7/2024,,,,,,,,
55,55,5,11,0,46,G46,PI 363332,harvest,11/7/2024,,,,,,,,
56,56,6,11,0,245,G245,PI 425259,harvest,11/7/2024,,,,,,,,
57,57,6,10,0,146,G146,PI 374130,harvest,11/7/2024,,,,,,,,
58,58,6,9,0,138,G138,PI 368285,harvest,11/7/2024,,,,,,,,
59,59,6,8,0,194,G194,PI 377265,harvest,11/7/2024,,,,,,,,
60,60,6,7,0,169,G169,PI 377208,harvest,11/7/2024,,,,,,,,
61,61,6,6,0,297,G297,PI 425544,harvest,11/7/2024,,,,,,,,
62,62,6,5,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
63,63,6,4,0,360,G360,PI 426149,harvest,11/7/2024,,,,,,,,
64,64,6,3,0,165,G165,PI 377198,harvest,11/7/2024,,,,,,,,
65,65,6,2,0,58,G58,PI 363380,harvest,11/7/2024,,,,,,,,
66,66,6,1,0,3,G3,PI 163110,harvest,11/7/2024,,,,,,,,
67,67,7,1,0,129,G129,PI 364218,harvest,11/7/2024,,,,,,,,
68,68,7,2,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
69,69,7,3,0,305,G305,PI 425570,harvest,11/7/2024,,,,,,,,
70,70,7,4,0,359,G359,PI 426139,harvest,11/7/2024,,,,,,,,
71,71,7,5,0,150,G150,PI 376923,harvest,11/7/2024,,,,,,,,
72,72,7,6,0,208,G208,PI 377288,harvest,11/7/2024,,,,,,,,
73,73,7,7,0,95,G95,PI 363696,harvest,11/7/2024,,,,,,,,
74,74,7,8,0,34,G34,PI 363190,harvest,11/7/2024,,,,,,,,
75,75,7,9,0,261,G261,PI 425424,harvest,11/7/2024,,,,,,,,
76,76,7,10,0,238,G238,PI 425169,harvest,11/7/2024,,,,,,,,
77,77,7,11,0,136,G136,PI 368277,harvest,11/7/2024,,,,,,,,
78,78,8,11,0,119,G119,PI 364047,harvest,NovemberTBD,,,,,,,,
79,79,8,10,0,210,G210,PI 377297,harvest,11/7/2024,,,,,,,,
80,80,8,9,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
81,81,8,8,0,170,G170,PI 377217,harvest,11/7/2024,,,,,,,,
82,82,8,7,0,307,G307,PI 425575,harvest,11/7/2024,,,,,,,,
83,83,8,6,0,155,G155,PI 377022,harvest,11/7/2024,,,,,,,,
84,84,8,5,0,163,G163,PI 377196,harvest,11/7/2024,,,,,,,,
85,85,8,4,0,212,G212,PI 377299,harvest,11/7/2024,,,,,,,,
86,86,8,3,0,345,G345,PI 425862,harvest,11/7/2024,,,,,,,,
87,87,8,2,0,264,G264,PI 425446,harvest,11/7/2024,,,,,,,,
88,88,8,1,0,42,G42,PI 363315,harvest,11/7/2024,,,,,,,,
89,89,9,1,0,282,G282,PI 425513,harvest,11/7/2024,,,,,,,,
90,90,9,2,0,291,G291,PI 425529,harvest,11/7/2024,,,,,,,,
91,91,9,3,0,164,G164,PI 377197,harvest,11/7/2024,,,,,,,,
92,92,9,4,0,100,G100,PI 363779,harvest,11/7/2024,,,,,,,,
93,93,9,5,0,318,G318,PI 425593,harvest,11/7/2024,,,,,,,,
94,94,9,6,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
95,95,9,7,0,204,G204,PI 377283,harvest,11/7/2024,,,,,,,,
96,96,9,8,0,346,G346,PI 425891,harvest,11/7/2024,,,,,,,,
97,97,9,9,0,35,G35,PI 363204,harvest,11/7/2024,,,,,,,,
98,98,9,10,0,229,G229,PI 425029,harvest,11/7/2024,,,,,,,,
99,99,9,11,0,30,G30,PI 363147,harvest,NovemberTBD,,,,,,,,
100,100,10,11,0,151,G151,PI 376951,harvest,NovemberTBD,,,,,,,,
101,101,10,10,0,152,G152,PI 376952,harvest,11/7/2024,,,,,,,,
102,102,10,9,0,352,G352,PI 426042,harvest,11/7/2024,,,,,,,,
103,103,10,8,0,323,G323,PI 425646,harvest,11/7/2024,,,,,,,,
104,104,10,7,0,4,G4,PI 164726,harvest,11/7/2024,,,,,,,,
105,105,10,6,0,109,G109,PI 363840,harvest,11/7/2024,,,,,,,,
106,106,10,5,0,134,G134,PI 368266,harvest,11/7/2024,,,,,,,,
107,107,10,4,0,67,G67,PI 363484,harvest,11/7/2024,,,,,,,,
108,108,10,3,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
109,109,10,2,0,284,G284,PI 425517,harvest,11/7/2024,,,,,,,,
110,110,10,1,0,82,G82,PI 363596,harvest,11/7/2024,,,,,,,,
111,111,11,1,0,273,G273,PI 425503,harvest,11/7/2024,,,,,,,,
112,112,11,2,0,26,G26,PI 362322,harvest,11/7/2024,,,,,,,,
113,113,11,3,0,68,G68,PI 363485,harvest,11/7/2024,,,,,,,,
114,114,11,4,0,255,G255,PI 425399,harvest,11/7/2024,,,,,,,,
115,115,11,5,0,334,G334,PI 425816,harvest,11/7/2024,,,,,,,,
116,116,11,6,0,10,G10,PI 199355,harvest,11/7/2024,,,,,,,,
117,117,11,7,0,79,G79,PI 363591,harvest,11/7/2024,,,,,,,,
118,118,11,8,0,161,G161,PI 377193,harvest,11/7/2024,,,,,,,,
119,119,11,9,0,183,G183,PI 377244,harvest,11/7/2024,,,,,,,,
120,120,11,10,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
121,121,11,11,0,275,G275,PI 425506,harvest,NovemberTBD,,,,,,,,
122,122,12,11,0,254,G254,PI 425389,harvest,NovemberTBD,,,,,,,,
123,123,12,10,0,320,G320,PI 425599,harvest,11/7/2024,,,,,,,,
124,124,12,9,0,288,G288,PI 425523,harvest,11/7/2024,,,,,,,,
125,125,12,8,0,45,G45,PI 363330,harvest,11/7/2024,,,,,,,,
126,126,12,7,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
127,127,12,6,0,286,G286,PI 425520,harvest,11/7/2024,,,,,,,,
128,128,12,5,0,127,G127,PI 364213,harvest,11/7/2024,,,,,,,,
129,129,12,4,0,293,G293,PI 425534,harvest,11/7/2024,,,,,,,,
130,130,12,3,0,224,G224,PI 385297,harvest,11/7/2024,,,,,,,,
131,131,12,2,0,94,G94,PI 363678,harvest,11/7/2024,,,,,,,,
132,132,12,1,0,96,G96,PI 363699,harvest,11/7/2024,,,,,,,,
133,133,13,1,0,358,G358,PI 426127,harvest,11/7/2024,,,,,,,,
134,134,13,2,0,239,G239,PI 425192,harvest,11/7/2024,,,,,,,,
135,135,13,3,0,267,G267,PI 425464,harvest,11/7/2024,,,,,,,,
136,136,13,4,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
137,137,13,5,0,203,G203,PI 377281,harvest,11/7/2024,,,,,,,,
138,138,13,6,0,211,G211,PI 377298,harvest,11/7/2024,,,,,,,,
139,139,13,7,0,9,G9,PI 183936,harvest,11/7/2024,,,,,,,,
140,140,13,8,0,175,G175,PI 377232,harvest,11/7/2024,,,,,,,,
141,141,13,9,0,355,G355,PI 426098,harvest,11/7/2024,,,,,,,,
142,142,13,10,0,89,G89,PI 363635,harvest,11/7/2024,,,,,,,,
143,143,13,11,0,294,G294,PI 425535,harvest,NovemberTBD,,,,,,,,
144,144,14,11,2,2,CH2,Ok2000,harvest,NovemberTBD,,,,,,,,
145,145,14,10,0,198,G198,PI 377271,harvest,11/7/2024,,,,,,,,
146,146,14,9,0,181,G181,PI 377241,harvest,11/7/2024,,,,,,,,
147,147,14,8,0,310,G310,PI 425581,harvest,11/7/2024,,,,,,,,
148,148,14,7,0,104,G104,PI 363823,harvest,11/7/2024,,,,,,,,
149,149,14,6,0,132,G132,PI 364230,harvest,11/7/2024,,,,,,,,
150,150,14,5,0,17,G17,PI 271403,harvest,11/7/2024,,,,,,,,
151,151,14,4,0,240,G240,PI 425201,harvest,11/7/2024,,,,,,,,
152,152,14,3,0,74,G74,PI 363517,harvest,11/7/2024,,,,,,,,
153,153,14,2,0,338,G338,PI 425824,harvest,11/7/2024,,,,,,,,
154,154,14,1,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
155,155,15,1,0,321,G321,PI 425610,harvest,11/7/2024,,,,,,,,
156,156,15,2,0,66,G66,PI 363475,harvest,11/7/2024,,,,,,,,
157,157,15,3,0,159,G159,PI 377147,harvest,11/7/2024,,,,,,,,
158,158,15,4,0,144,G144,PI 369768,harvest,11/7/2024,,,,,,,,
159,159,15,5,0,249,G249,PI 425274,harvest,11/7/2024,,,,,,,,
160,160,15,6,0,251,G251,PI 425385,harvest,11/7/2024,,,,,,,,
161,161,15,7,0,124,G124,albert lea 3x,harvest,11/7/2024,,,,,,,,
162,162,15,8,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
163,163,15,9,0,59,G59,PI 363381,harvest,11/7/2024,,,,,,,,
164,164,15,10,0,107,G107,PI 363828,harvest,11/7/2024,,,,,,,,
165,165,15,11,0,188,G188,PI 377256,harvest,NovemberTBD,,,,,,,,
166,166,16,11,0,281,G281,PI 425512,harvest,NovemberTBD,,,,,,,,
167,167,16,10,0,331,G331,PI 425812,harvest,11/7/2024,,,,,,,,
168,168,16,9,0,259,G259,PI 425422,harvest,11/7/2024,,,,,,,,
169,169,16,8,0,23,G23,PI 362310,harvest,11/7/2024,,,,,,,,
170,170,16,7,0,90,G90,PI 363645,harvest,11/7/2024,,,,,,,,
171,171,16,6,0,227,G227,PI 424964,harvest,11/7/2024,,,,,,,,
172,172,16,5,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
173,173,16,4,0,236,G236,PI 425160,harvest,11/7/2024,,,,,,,,
174,174,16,3,0,102,G102,PI 363782,harvest,11/7/2024,,,,,,,,
175,175,16,2,0,356,G356,PI 426109,harvest,11/7/2024,,,,,,,,
176,176,16,1,0,101,G101,PI 363781,harvest,11/7/2024,,,,,,,,
177,177,17,1,0,233,G233,PI 425130,harvest,11/7/2024,,,,,,,,
178,178,17,2,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
179,179,17,3,0,187,G187,PI 377255,harvest,11/7/2024,,,,,,,,
180,180,17,4,0,362,G362,PI 427060,harvest,11/7/2024,,,,,,,,
181,181,17,5,0,28,G28,PI 362326,harvest,11/7/2024,,,,,,,,
182,182,17,6,0,184,G184,PI 377248,harvest,11/7/2024,,,,,,,,
183,183,17,7,0,15,G15,PI 264686,harvest,11/7/2024,,,,,,,,
184,184,17,8,0,235,G235,PI 425138,harvest,11/7/2024,,,,,,,,
185,185,17,9,0,123,G123,PI 364123,harvest,11/7/2024,,,,,,,,
186,186,17,10,0,44,G44,PI 363326,harvest,11/7/2024,,,,,,,,
187,187,17,11,0,319,G319,PI 425594,harvest,NovemberTBD,,,,,,,,
188,188,18,11,0,215,G215,PI 377306,harvest,NovemberTBD,,,,,,,,
189,189,18,10,0,242,G242,PI 425229,harvest,11/7/2024,,,,,,,,
190,190,18,9,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
191,191,18,8,0,285,G285,PI 425518,harvest,11/7/2024,,,,,,,,
192,192,18,7,0,339,G339,PI 425832,harvest,11/7/2024,,,,,,,,
193,193,18,6,0,105,G105,PI 363824,harvest,11/7/2024,,,,,,,,
194,194,18,5,0,62,G62,PI 363416,harvest,11/7/2024,,,,,,,,
195,195,18,4,0,147,G147,PI 376849,harvest,11/7/2024,,,,,,,,
196,196,18,3,0,193,G193,PI 377263,harvest,11/7/2024,,,,,,,,
197,197,18,2,0,31,G31,PI 363149,harvest,11/7/2024,,,,,,,,
198,198,18,1,0,287,G287,PI 425522,harvest,11/7/2024,,,,,,,,
199,199,19,1,0,48,G48,PI 363334,harvest,11/7/2024,,,,,,,,
200,200,19,2,0,65,G65,PI 363474,harvest,11/7/2024,,,,,,,,
201,201,19,3,0,196,G196,PI 377267,harvest,11/7/2024,,,,,,,,
202,202,19,4,0,228,G228,PI 424984,harvest,11/7/2024,,,,,,,,
203,203,19,5,0,256,G256,PI 425413,harvest,11/7/2024,,,,,,,,
204,204,19,6,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
205,205,19,7,0,214,G214,PI 377305,harvest,11/7/2024,,,,,,,,
206,206,19,8,0,69,G69,PI 363493,harvest,11/7/2024,,,,,,,,
207,207,19,9,0,213,G213,PI 377304,harvest,11/7/2024,,,,,,,,
208,208,19,10,0,154,G154,PI 377014,harvest,11/7/2024,,,,,,,,
209,209,19,11,0,365,G365,enlist 005,harvest,NovemberTBD,,,,,,,,
210,210,20,11,0,295,G295,PI 425536,harvest,NovemberTBD,,,,,,,,
211,211,20,10,0,115,G115,PI 364007,harvest,11/7/2024,,,,,,,,
212,212,20,9,0,73,G73,PI 363516,harvest,11/7/2024,,,,,,,,
213,213,20,8,0,5,G5,PI 164770,harvest,11/7/2024,,,,,,,,
214,214,20,7,0,189,G189,PI 377258,harvest,11/7/2024,,,,,,,,
215,215,20,6,0,306,G306,PI 425573,harvest,11/7/2024,,,,,,,,
216,216,20,5,0,86,G86,PI 363605,harvest,11/7/2024,,,,,,,,
217,217,20,4,0,260,G260,PI 425423,harvest,11/7/2024,,,,,,,,
218,218,20,3,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
219,219,20,2,0,55,G55,PI 363362,harvest,11/7/2024,,,,,,,,
220,220,20,1,0,111,G111,PI 363909,harvest,11/7/2024,,,,,,,,
221,221,21,1,0,348,G348,PI 426026,harvest,11/7/2024,,,,,,,,
222,222,21,2,0,342,G342,PI 425842,harvest,11/7/2024,,,,,,,,
223,223,21,3,0,191,G191,PI 377261,harvest,11/7/2024,,,,,,,,
224,224,21,4,0,231,G231,PI 425045,harvest,11/7/2024,,,,,,,,
225,225,21,5,0,192,G192,PI 377262,harvest,11/7/2024,,,,,,,,
226,226,21,6,0,289,G289,PI 425527,harvest,11/7/2024,,,,,,,,
227,227,21,7,0,126,G126,PI 364205,harvest,11/7/2024,,,,,,,,
228,228,21,8,0,344,G344,PI 425859,harvest,11/7/2024,,,,,,,,
229,229,21,9,0,353,G353,PI 426055,harvest,11/7/2024,,,,,,,,
230,230,21,10,2,2,CH2,Ok2000,harvest,11/7/2024,,,,,,,,
231,231,21,11,0,33,G33,PI 363153,harvest,NovemberTBD,,,,,,,,
232,232,22,11,0,167,G167,PI 377203,harvest,NovemberTBD,,,,,,,,
233,233,22,10,0,160,G160,PI 377186,harvest,11/7/2024,,,,,,,,
234,234,22,9,0,87,G87,PI 363613,harvest,11/7/2024,,,,,,,,
235,235,22,8,0,37,G37,PI 363231,harvest,11/7/2024,,,,,,,,
236,236,22,7,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
237,237,22,6,0,263,G263,PI 425435,harvest,11/7/2024,,,,,,,,
238,238,22,5,0,195,G195,PI 377266,harvest,11/7/2024,,,,,,,,
239,239,22,4,0,166,G166,PI 377202,harvest,11/7/2024,,,,,,,,
240,240,22,3,0,366,G366,enlist 1.7,harvest,11/7/2024,,,,,,,,
241,241,22,2,0,6,G6,PI 167295,harvest,11/7/2024,,,,,,,,
242,242,22,1,0,47,G47,PI 363333,harvest,11/7/2024,,,,,,,,
243,243,23,1,0,141,G141,PI 368329,harvest,11/7/2024,,,,,,,,
244,244,23,2,0,29,G29,PI 362327,harvest,11/7/2024,,,,,,,,
245,245,23,3,0,78,G78,PI 363585,harvest,11/7/2024,,,,,,,,
246,246,23,4,1,1,CH1,albert lea,harvest,11/7/2024,,,,,,,,
247,247,23,5,0,81,G81,PI 363595,harvest,11/7/2024,,,,,,,,
248,248,23,6,0,57,G57,PI 363377,harvest,11/7/2024,,,,,,,,
249,249,23,7,0,329,G329,PI 425803,harvest,11/7/2024,,,,,,,,
